headline,source,date,date_band,theme,label
Trump sanctions have swift impact but will world stop buying Russian oil and gas?,guardian,2025-10-26,2024-2026,sanctions,Neu
"Tariffs on Nato allies are wrong, Starmer tells Trump in Greenland crisis call",guardian,2026-01-18,2024-2026,tariffs_trade,Neu
"China will cut import tariffs on consumer goods,",reuters,,unknown,tariffs_trade,Pos
"U.S. business seeks action, not trade war, in Xi-Trump summit",reuters,,unknown,tariffs_trade,Neu
China pressed iron ore traders to halt business even before U.N. sanctions,reuters,,unknown,sanctions,Neu
Exclusive: U.S. to impose arms embargo on South Sudan to end conflict - sources,reuters,,unknown,sanctions,Neu
U.S. expected to impose up to $60 billion in China tariffs by Friday: sources,reuters,,unknown,tariffs_trade,Neg
Belarus leader to meet Putin amid threat of new Western sanctions,reuters,,unknown,sanctions,Neu
EU drops plans to hit American bourbon with retaliatory tariffs,guardian,2025-04-08,2024-2026,tariffs_trade,Pos
Australia and China suspend WTO wine tariff dispute before Anthony Albanese’s trip to Beijing,guardian,2023-10-21,2022-2023,tariffs_trade,Pos
Putin vows oil shipments to India will be ‘uninterrupted’ in defiance of US,guardian,2025-12-05,2024-2026,ukraine_russia,Neu
REFILE-Large retailers urge Trump against China tariffs,reuters,,unknown,tariffs_trade,Neg
Russia stocks seen hitting record highs but sanctions to weigh,reuters,,unknown,sanctions,Neu
White House's Cohn says 'fair trade' means reciprocal tariffs,reuters,,unknown,tariffs_trade,Neg
Anthony Albanese confident dysfunction in US Congress won’t affect Aukus deal (X),guardian,2023-10-24,2022-2023,industrial_policy,Neu
Trump’s tariffs could deliver a $27bn blow to Australia – and the cost of a global trade war would be far higher,guardian,2025-04-03,2024-2026,tariffs_trade,Neg
Rouhani calls Trump's sanctions a 'crime and aggression (X),reuters,,unknown,sanctions,Neu
"US and China holding talks on trade war, Trump says after Beijing rebuttal ",guardian,2025-04-24,2024-2026,tariffs_trade,Neu
"European stock markets fall as Trump renews tariff threats; trade war would be a ‘wrecking ball’ for UK manufacturing, union says",guardian,2026-01-19,2024-2026,tariffs_trade,Neg
Kim Jong-un arrives in Russia to meet Putin as US threatens sanctions,guardian,2023-09-12,2022-2023,sanctions,Neg
US farmers say Trump’s $12bn package not enough to undo damage from tariffs,guardian,2025-12-22,2024-2026,tariffs_trade,Neg
Trade war fears hammer US consumer expectations; FTSE 100 in longest winning run since 2019 – as it happened,guardian,2025-04-25,2024-2026,tariffs_trade,Neg
ZTE warns of impact of U.S. sanction settlement penalties,reuters,,unknown,sanctions,Neg
Trump says China ‘totally violated’ tariff truce after US warns trade talks have ‘stalled’ – as it happened,guardian,2025-05-30,2024-2026,tariffs_trade,Neg
Chinese economy slows amid Trump trade war and weaker consumer spending (X),guardian,2025-09-15,2024-2026,tariffs_trade,Neg
"U.S. to slap tariffs soon on steel, aluminum from EU: WSJ",reuters,,unknown,tariffs_trade,Neg
Nike expects Trump tariffs to cost it $1bn,guardian,2025-06-27,2024-2026,tariffs_trade,Neg
UK’s largest bioethanol plant to shut after blow from Starmer’s trade deal with Trump (X),guardian,2025-08-15,2024-2026,tariffs_trade,Neu
China’s economy beats expectations in face of Trump’s trade war,guardian,2025-07-15,2024-2026,tariffs_trade,Pos
Trump claims ‘total reset’ of US-China ties as 90-day pause to trade war agreed,guardian,2025-05-12,2024-2026,tariffs_trade,Pos
U.S. trade envoy Ross says up to EU whether there is escalation on tariffs: Le Figaro,reuters,,unknown,tariffs_trade,Neu
China tells US to ‘stop whining’ over tariffs as it reports GDP growth spurt,guardian,2025-04-16,2024-2026,tariffs_trade,Neu
"Russia c.bank: if new sanctions imposed, we will try to curb risks",reuters,,unknown,sanctions,Neu
"US adds just 73,000 jobs in July amid pressure from Trump’s trade war",guardian,2025-08-01,2024-2026,tariffs_trade,Neg
